"REF_DATE","GEO","DGUID","Age group","Teen pregnancy outcomes","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Canada","","15 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384837","1.1.1.1","41588","","","","0"
"1998","Canada","","15 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384838","1.1.1.2","41.7","","","","1"
"1998","Canada","","15 to 19 years","Live births","Number of events","Number","223","units ","0","v4384839","1.1.2.1","19721","","","","0"
"1998","Canada","","15 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384840","1.1.2.2","19.8","","","","1"
"1998","Canada","","15 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384841","1.1.3.1","20859","","","","0"
"1998","Canada","","15 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384842","1.1.3.2","20.9","","","","1"
"1998","Canada","","15 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384843","1.1.4.1","1008","","","","0"
"1998","Canada","","15 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384844","1.1.4.2","1.0","","","","1"
"1998","Canada","","15 to 17 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384845","1.2.1.1","14630","","","","0"
"1998","Canada","","15 to 17 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384846","1.2.1.2","24.5","","","","1"
"1998","Canada","","15 to 17 years","Live births","Number of events","Number","223","units ","0","v4384847","1.2.2.1","6453","","","","0"
"1998","Canada","","15 to 17 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384848","1.2.2.2","10.8","","","","1"
"1998","Canada","","15 to 17 years","Induced abortions","Number of events","Number","223","units ","0","v4384849","1.2.3.1","7741","","","","0"
"1998","Canada","","15 to 17 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384850","1.2.3.2","13.0","","","","1"
"1998","Canada","","15 to 17 years","Fetal loss","Number of events","Number","223","units ","0","v4384851","1.2.4.1","436","","","","0"
"1998","Canada","","15 to 17 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384852","1.2.4.2","0.7","","","","1"
"1998","Canada","","18 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384853","1.3.1.1","26958","","","","0"
"1998","Canada","","18 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384854","1.3.1.2","67.5","","","","1"
"1998","Canada","","18 to 19 years","Live births","Number of events","Number","223","units ","0","v4384855","1.3.2.1","13268","","","","0"
"1998","Canada","","18 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384856","1.3.2.2","33.2","","","","1"
"1998","Canada","","18 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384857","1.3.3.1","13118","","","","0"
"1998","Canada","","18 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384858","1.3.3.2","32.8","","","","1"
"1998","Canada","","18 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384859","1.3.4.1","572","","","","0"
"1998","Canada","","18 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384860","1.3.4.2","1.4","","","","1"
"1998","Newfoundland and Labrador","","15 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384861","2.1.1.1","662","","","","0"
"1998","Newfoundland and Labrador","","15 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384862","2.1.1.2","31.5","","","","1"
"1998","Newfoundland and Labrador","","15 to 19 years","Live births","Number of events","Number","223","units ","0","v4384863","2.1.2.1","429","","","","0"
"1998","Newfoundland and Labrador","","15 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384864","2.1.2.2","20.4","","","","1"
"1998","Newfoundland and Labrador","","15 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384865","2.1.3.1","204","","","","0"
"1998","Newfoundland and Labrador","","15 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384866","2.1.3.2","9.7","","","","1"
"1998","Newfoundland and Labrador","","15 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384867","2.1.4.1","29","","","","0"
"1998","Newfoundland and Labrador","","15 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384868","2.1.4.2","1.4","","","","1"
"1998","Newfoundland and Labrador","","15 to 17 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384869","2.2.1.1","236","","","","0"
"1998","Newfoundland and Labrador","","15 to 17 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384870","2.2.1.2","18.7","","","","1"
"1998","Newfoundland and Labrador","","15 to 17 years","Live births","Number of events","Number","223","units ","0","v4384871","2.2.2.1","136","","","","0"
"1998","Newfoundland and Labrador","","15 to 17 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384872","2.2.2.2","10.8","","","","1"
"1998","Newfoundland and Labrador","","15 to 17 years","Induced abortions","Number of events","Number","223","units ","0","v4384873","2.2.3.1","89","","","","0"
"1998","Newfoundland and Labrador","","15 to 17 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384874","2.2.3.2","7.1","","","","1"
"1998","Newfoundland and Labrador","","15 to 17 years","Fetal loss","Number of events","Number","223","units ","0","v4384875","2.2.4.1","11","","","","0"
"1998","Newfoundland and Labrador","","15 to 17 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384876","2.2.4.2","0.9","","","","1"
"1998","Newfoundland and Labrador","","18 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384877","2.3.1.1","426","","","","0"
"1998","Newfoundland and Labrador","","18 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384878","2.3.1.2","50.8","","","","1"
"1998","Newfoundland and Labrador","","18 to 19 years","Live births","Number of events","Number","223","units ","0","v4384879","2.3.2.1","293","","","","0"
"1998","Newfoundland and Labrador","","18 to 19 years","Live births","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384880","2.3.2.2","35.0","","","","1"
"1998","Newfoundland and Labrador","","18 to 19 years","Induced abortions","Number of events","Number","223","units ","0","v4384881","2.3.3.1","115","","","","0"
"1998","Newfoundland and Labrador","","18 to 19 years","Induced abortions","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384882","2.3.3.2","13.7","","","","1"
"1998","Newfoundland and Labrador","","18 to 19 years","Fetal loss","Number of events","Number","223","units ","0","v4384883","2.3.4.1","18","","","","0"
"1998","Newfoundland and Labrador","","18 to 19 years","Fetal loss","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384884","2.3.4.2","2.1","","","","1"
"1998","Prince Edward Island","","15 to 19 years","Total, teen pregnancies","Number of events","Number","223","units ","0","v4384885","3.1.1.1","181","","","","0"
"1998","Prince Edward Island","","15 to 19 years","Total, teen pregnancies","Rate per 1,000 females","Rates per 1,000 females","266","units ","0","v4384886","3.1.1.2","36.4","","","","1"
